"","Acari","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.285075,0.180847048092094,0.389302951907905,"DS_Tim",0.11085,0.0479321491705255,0.173767850829474
"DS_Mag_50","DS_Mag_50",0.45355,0.364649203087561,0.542450796912439,"DS_Mag_50",0.13885,0.10944059622615,0.16825940377385
"DS_Mag_90","DS_Mag_90",0.470025,0.355762355560752,0.584287644439248,"DS_Mag_90",0.1634,0.114105772697674,0.212694227302326
"SP_ROC","SP_ROC",0.29075,0.140399849694122,0.441100150305878,"SP_ROC",0.13205,0.0456012833428589,0.218498716657141
"SP_Dur","SP_Dur",0.494025,0.329230662183891,0.658819337816109,"SP_Dur",0.2232,0.12348125584425,0.32291874415575
"SP_Mag","SP_Mag",0.538025,0.431889421160558,0.644160578839442,"SP_Mag",0.2198,0.15467189065644,0.28492810934356
"SP_Tim","SP_Tim",0.423075,0.263653113442403,0.582496886557597,"SP_Tim",0.1987,0.037291600098797,0.360108399901203
"Wet_BFL_Dur","Wet_BFL_Dur",0.347225,0.208151689281336,0.486298310718664,"Wet_BFL_Dur",0.1874,0.0620363560516846,0.312763643948315
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.176275,0.0778300986545435,0.274719901345457,"Wet_BFL_Mag_10",0.02095,0.00673056922142568,0.0351694307785743
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.348875,0.324225179170698,0.373524820829301,"Wet_BFL_Mag_50",0.0824,0.0429443188374602,0.12185568116254
"Wet_Tim","Wet_Tim",0.467825,0.293048956228979,0.642601043771021,"Wet_Tim",0.1671,0.0416581242327747,0.292541875767225
"DS_Dur_WS","DS_Dur_WS",0.186575,0.151859583526671,0.221290416473329,"DS_Dur_WS",0.02015,0.0179742307873612,0.0223257692126388
"Q99","Q99",0.651425,0.542812889262216,0.760037110737784,"Q99",0.3217,0.219333179118753,0.424066820881247
"FA_Dur","FA_Dur",0.200625,0.118391705905799,0.282858294094201,"FA_Dur",0.08205,0.0204293551829692,0.143670644817031
"FA_Mag","FA_Mag",0.515275,0.41204059047367,0.61850940952633,"FA_Mag",0.2382,0.167632786479839,0.308767213520161
"FA_Tim","FA_Tim",0.15415,0.117150500494376,0.191149499505624,"FA_Tim",0.05765,0.0241038899870641,0.0911961100129359
