"","Argia","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.1071,0.057890726890148,0.156309273109852,"DS_Tim",0.07408,0.0312263917365177,0.116933608263482
"DS_Mag_50","DS_Mag_50",0.36782,0.340433023730247,0.395206976269753,"DS_Mag_50",0.28552,0.233696686354499,0.337343313645501
"DS_Mag_90","DS_Mag_90",0.36724,0.2984496052141,0.4360303947859,"DS_Mag_90",0.2522,0.174070856001105,0.330329143998895
"SP_ROC","SP_ROC",0.12656,0.0774777783836143,0.175642221616386,"SP_ROC",0.08772,0.0433944364141865,0.132045563585814
"SP_Dur","SP_Dur",0.1276,0.0966805340764107,0.158519465923589,"SP_Dur",0.0736,0.0468934266518522,0.100306573348148
"SP_Mag","SP_Mag",0.51276,0.382349739858016,0.643170260141984,"SP_Mag",0.3126,0.204960483092872,0.420239516907128
"SP_Tim","SP_Tim",0.17702,0.0993312502243729,0.254708749775627,"SP_Tim",0.09776,0.0715422616383487,0.123977738361651
"Wet_BFL_Dur","Wet_BFL_Dur",0.22888,0.129195244930832,0.328564755069168,"Wet_BFL_Dur",0.16004,0.0864075449492549,0.233672455050745
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.24072,0.153211278770628,0.328228721229372,"Wet_BFL_Mag_10",0.17196,0.0983573219862212,0.245562678013779
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.16576,0.0842423505625929,0.247277649437407,"Wet_BFL_Mag_50",0.11068,0.0556296132511315,0.165730386748869
"Wet_Tim","Wet_Tim",0.0907,0.0547854400555986,0.126614559944401,"Wet_Tim",0.04608,0.0292448664038565,0.0629151335961435
"DS_Dur_WS","DS_Dur_WS",0.2126,0.181723856166937,0.243476143833063,"DS_Dur_WS",0.11448,0.0768593201922134,0.152100679807787
"Q99","Q99",0.36858,0.181801054679067,0.555358945320933,"Q99",0.28308,0.122786019073703,0.443373980926297
"FA_Dur","FA_Dur",0.2737,0.135571811575262,0.411828188424738,"FA_Dur",0.1346,0.088391467151618,0.180808532848382
"FA_Mag","FA_Mag",0.21132,0.1379776108877,0.2846623891123,"FA_Mag",0.13968,0.0942642897974721,0.185095710202528
"FA_Tim","FA_Tim",0.1141,0.0234613038128858,0.204738696187114,"FA_Tim",0.10272,0.0295955612315554,0.175844438768445
