"","Dasyhelea","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.11892,0.0850705673430115,0.152769432656989,"DS_Tim",0.06196,0.0486209435566079,0.0752990564433921
"DS_Mag_50","DS_Mag_50",0.42522,0.303896522456698,0.546543477543302,"DS_Mag_50",0.3052,0.208644259777059,0.401755740222941
"DS_Mag_90","DS_Mag_90",0.28406,0.199893384496583,0.368226615503417,"DS_Mag_90",0.16412,0.112168740465702,0.216071259534298
"SP_ROC","SP_ROC",0.0933,0.0487118038826418,0.137888196117358,"SP_ROC",0.07012,0.0312851211769626,0.108954878823037
"SP_Dur","SP_Dur",0.3267,0.20860823113358,0.44479176886642,"SP_Dur",0.19616,0.149253899322156,0.243066100677844
"SP_Mag","SP_Mag",0.38316,0.317687284375093,0.448632715624907,"SP_Mag",0.24784,0.191526041439089,0.304153958560911
"SP_Tim","SP_Tim",0.26726,0.164191009431546,0.370328990568454,"SP_Tim",0.19072,0.11559296094481,0.26584703905519
"Wet_BFL_Dur","Wet_BFL_Dur",0.29474,0.191133508483783,0.398346491516217,"Wet_BFL_Dur",0.1764,0.117512477637449,0.235287522362551
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.28904,0.179181455799742,0.398898544200258,"Wet_BFL_Mag_10",0.20876,0.116107662270183,0.301412337729817
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.15756,0.0909435079330951,0.224176492066905,"Wet_BFL_Mag_50",0.13108,0.0752896061745393,0.186870393825461
"Wet_Tim","Wet_Tim",0.63656,0.517299070218701,0.755820929781299,"Wet_Tim",0.41716,0.335729624544645,0.498590375455355
"DS_Dur_WS","DS_Dur_WS",0.0853,0.0366047353380229,0.133995264661977,"DS_Dur_WS",0.05488,0.0271404945393758,0.0826195054606242
"Q99","Q99",0.41504,0.304104148255399,0.525975851744601,"Q99",0.27044,0.196749590903565,0.344130409096435
"FA_Dur","FA_Dur",0.04058,0.0252499132194237,0.0559100867805763,"FA_Dur",0.0362,0.0233410704955661,0.0490589295044339
"FA_Mag","FA_Mag",0.34978,0.303715603241766,0.395844396758234,"FA_Mag",0.26292,0.213362871862869,0.312477128137131
"FA_Tim","FA_Tim",0.25062,0.172412719586345,0.328827280413655,"FA_Tim",0.1736,0.119364281879927,0.227835718120073
