"","Dicranota","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.31695,0.274283209553565,0.359616790446435,"DS_Tim",0.0405,0.0228314397870115,0.0581685602129885
"DS_Mag_50","DS_Mag_50",0.251775,0.142001858469007,0.361548141530993,"DS_Mag_50",0.07615,0.0338218365663396,0.11847816343366
"DS_Mag_90","DS_Mag_90",0.254625,0.164458499079481,0.344791500920519,"DS_Mag_90",0.06355,0.0318375094061241,0.0952624905938759
"SP_ROC","SP_ROC",0.441,0.233809535039214,0.648190464960786,"SP_ROC",0.1196,0.0710041856672134,0.168195814332787
"SP_Dur","SP_Dur",0.251175,0.134517347622413,0.367832652377587,"SP_Dur",0.0722,0.0284104094865762,0.115989590513424
"SP_Mag","SP_Mag",0.402825,0.363293905189501,0.442356094810499,"SP_Mag",0.11285,0.0771832616059911,0.148516738394009
"SP_Tim","SP_Tim",0.393225,0.23777552729504,0.54867447270496,"SP_Tim",0.016,0.00977770738928702,0.022222292610713
"Wet_BFL_Dur","Wet_BFL_Dur",0.543925,0.331753636850029,0.756096363149971,"Wet_BFL_Dur",0.23315,0.146607385196656,0.319692614803344
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.10635,0.0536172192875564,0.159082780712444,"Wet_BFL_Mag_10",0.0201,0.0120630041267482,0.0281369958732518
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.0684,0.040362378691004,0.096437621308996,"Wet_BFL_Mag_50",0.01355,0.00451223370147985,0.0225877662985202
"Wet_Tim","Wet_Tim",0.419675,0.274371520132574,0.564978479867426,"Wet_Tim",0.0473,0.0183648741953083,0.0762351258046917
"DS_Dur_WS","DS_Dur_WS",0.1741,0.111300756830463,0.236899243169537,"DS_Dur_WS",0.03445,0.0182663698860031,0.0506336301139969
"Q99","Q99",0.4268,0.370281634713425,0.483318365286574,"Q99",0.0888,0.0286333737470126,0.148966626252987
"FA_Dur","FA_Dur",0.20925,0.110710512681464,0.307789487318536,"FA_Dur",0.01345,0.00706199595596037,0.0198380040440396
"FA_Mag","FA_Mag",0.278525,0.141296965676652,0.415753034323348,"FA_Mag",0.04845,0.0204482398469906,0.0764517601530094
"FA_Tim","FA_Tim",0.23045,0.156836598038582,0.304063401961418,"FA_Tim",0.09055,0.0415635667114523,0.139536433288548
