"","Ephemerellidae","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.23514,0.156206189121518,0.314073810878482,"DS_Tim",0.05452,0.0274486108372695,0.0815913891627305
"DS_Mag_50","DS_Mag_50",0.24982,0.185584462984264,0.314055537015736,"DS_Mag_50",0.06084,0.0289944932400189,0.0926855067599811
"DS_Mag_90","DS_Mag_90",0.18122,0.104283318188266,0.258156681811734,"DS_Mag_90",0.04564,0.0213407028743628,0.0699392971256372
"SP_ROC","SP_ROC",0.59506,0.472693849985791,0.717426150014209,"SP_ROC",0.18336,0.164727187040063,0.201992812959937
"SP_Dur","SP_Dur",0.42688,0.291974085783091,0.561785914216909,"SP_Dur",0.10312,0.0583743010647951,0.147865698935205
"SP_Mag","SP_Mag",0.20284,0.111692922936059,0.293987077063941,"SP_Mag",0.10188,0.0536655636432406,0.150094436356759
"SP_Tim","SP_Tim",0.44052,0.313800290093845,0.567239709906155,"SP_Tim",0.16004,0.105504105042642,0.214575894957358
"Wet_BFL_Dur","Wet_BFL_Dur",0.53444,0.390785167264376,0.678094832735624,"Wet_BFL_Dur",0.17932,0.0693162200958531,0.289323779904147
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.10234,0.0441959653076947,0.160484034692305,"Wet_BFL_Mag_10",0.03284,0.0143883409743189,0.0512916590256811
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.14142,0.0908910750292468,0.191948924970753,"Wet_BFL_Mag_50",0.02828,0.0141211873661666,0.0424388126338334
"Wet_Tim","Wet_Tim",0.15842,0.0942737277567901,0.22256627224321,"Wet_Tim",0.05924,0.0308290072894311,0.0876509927105689
"DS_Dur_WS","DS_Dur_WS",0.27012,0.209011583519944,0.331228416480056,"DS_Dur_WS",0.05112,0.0318435469756493,0.0703964530243507
"Q99","Q99",0.24768,0.174569656773477,0.320790343226523,"Q99",0.07472,0.0354908191112789,0.113949180888721
"FA_Dur","FA_Dur",0.39966,0.287087138300121,0.512232861699879,"FA_Dur",0.19028,0.0837873270163623,0.296772672983638
"FA_Mag","FA_Mag",0.30986,0.260474397636558,0.359245602363442,"FA_Mag",0.05488,0.0411045321240983,0.0686554678759017
"FA_Tim","FA_Tim",0.1976,0.136719447214238,0.258480552785762,"FA_Tim",0.02564,0.0100977437673934,0.0411822562326066
