"","Hexatoma","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.2027,0.156803815779523,0.248596184220477,"DS_Tim",0.0525,0.0354546660539216,0.0695453339460784
"DS_Mag_50","DS_Mag_50",0.51445,0.39079532123827,0.63810467876173,"DS_Mag_50",0.17425,0.109480754121523,0.239019245878477
"DS_Mag_90","DS_Mag_90",0.442525,0.39362839496192,0.49142160503808,"DS_Mag_90",0.11065,0.0782772138414583,0.143022786158542
"SP_ROC","SP_ROC",0.190725,0.12890790068611,0.25254209931389,"SP_ROC",0.0507,0.0279728019911531,0.0734271980088469
"SP_Dur","SP_Dur",0.351425,0.269755847029514,0.433094152970486,"SP_Dur",0.058,0.043597667133412,0.072402332866588
"SP_Mag","SP_Mag",0.29665,0.167292471677654,0.426007528322346,"SP_Mag",0.10115,0.03869370606843,0.16360629393157
"SP_Tim","SP_Tim",0.38635,0.282156990994277,0.490543009005723,"SP_Tim",0.05775,0.0200978120556056,0.0954021879443944
"Wet_BFL_Dur","Wet_BFL_Dur",0.3594,0.230546912009581,0.488253087990419,"Wet_BFL_Dur",0.1175,0.0450698227440155,0.189930177255984
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.28515,0.136154836442029,0.434145163557972,"Wet_BFL_Mag_10",0.0733,0.018316817831874,0.128283182168126
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.265975,0.197413331334119,0.334536668665881,"Wet_BFL_Mag_50",0.0647,0.0390521311866528,0.0903478688133472
"Wet_Tim","Wet_Tim",0.375025,0.271603155871612,0.478446844128388,"Wet_Tim",0.0897,0.0505951346079119,0.128804865392088
"DS_Dur_WS","DS_Dur_WS",0.111175,0.0647960858444271,0.157553914155573,"DS_Dur_WS",0.0158,0.0084772728213231,0.0231227271786769
"Q99","Q99",0.4132,0.318454701847532,0.507945298152468,"Q99",0.131,0.0805901996565483,0.181409800343452
"FA_Dur","FA_Dur",0.391375,0.242812891456413,0.539937108543587,"FA_Dur",0.1381,0.0764281450146557,0.199771854985344
"FA_Mag","FA_Mag",0.2473,0.194687795414625,0.299912204585375,"FA_Mag",0.04445,0.0378132579528808,0.0510867420471192
"FA_Tim","FA_Tim",0.235325,0.138450489157794,0.332199510842206,"FA_Tim",0.04925,0.0152377990764098,0.0832622009235902
