"","Microcylloepus","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.19948,0.0919398048230337,0.307020195176966,"DS_Tim",0.01888,0.0113166472249405,0.0264433527750595
"DS_Mag_50","DS_Mag_50",0.38382,0.306126382780179,0.461513617219821,"DS_Mag_50",0.03472,0.0199543884244505,0.0494856115755495
"DS_Mag_90","DS_Mag_90",0.31476,0.177164140955114,0.452355859044886,"DS_Mag_90",0.02968,0.0189935954035045,0.0403664045964955
"SP_ROC","SP_ROC",0.12214,0.080270688460401,0.164009311539599,"SP_ROC",0.00992,0.00556004619290525,0.0142799538070948
"SP_Dur","SP_Dur",0.33472,0.221522764776696,0.447917235223304,"SP_Dur",0.06364,0.042506009728402,0.084773990271598
"SP_Mag","SP_Mag",0.19852,0.117574718477851,0.279465281522149,"SP_Mag",0.02388,0.0136059723963774,0.0341540276036226
"SP_Tim","SP_Tim",0.60192,0.542273972335117,0.661566027664883,"SP_Tim",0.03632,0.0318351747860145,0.0408048252139855
"Wet_BFL_Dur","Wet_BFL_Dur",0.46616,0.365616742509505,0.566703257490495,"Wet_BFL_Dur",0.10064,0.0744474580309585,0.126832541969042
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.20736,0.126298665991115,0.288421334008885,"Wet_BFL_Mag_10",0.02588,0.00695577115970112,0.0448042288402989
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.22802,0.185645843699255,0.270394156300745,"Wet_BFL_Mag_50",0.0202,0.015178037833675,0.025221962166325
"Wet_Tim","Wet_Tim",0.43588,0.313031525490953,0.558728474509047,"Wet_Tim",0.07028,0.0292623695564944,0.111297630443506
"DS_Dur_WS","DS_Dur_WS",0.3346,0.143271896648715,0.525928103351285,"DS_Dur_WS",0.03836,0.00811930551723391,0.0686006944827661
"Q99","Q99",0.15532,0.0824591386325965,0.228180861367404,"Q99",0.01768,0.00926722654530624,0.0260927734546938
"FA_Dur","FA_Dur",0.49626,0.341699235454789,0.65082076454521,"FA_Dur",0.08552,0.0445067599768075,0.126533240023192
"FA_Mag","FA_Mag",0.49818,0.398424313018254,0.597935686981746,"FA_Mag",0.0568,0.0471842571789799,0.0664157428210201
"FA_Tim","FA_Tim",0.53844,0.397203559895826,0.679676440104174,"FA_Tim",0.0998,0.0491237176777933,0.150476282322207
