"","Paracladopelma","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.41086,0.313614585926636,0.508105414073364,"DS_Tim",0.24788,0.146747356935557,0.349012643064443
"DS_Mag_50","DS_Mag_50",0.31402,0.192033447473912,0.436006552526088,"DS_Mag_50",0.19336,0.0860409297897154,0.300679070210285
"DS_Mag_90","DS_Mag_90",0.38596,0.267666994262974,0.504253005737026,"DS_Mag_90",0.25792,0.118317605166673,0.397522394833327
"SP_ROC","SP_ROC",0.06608,0.0343574779580816,0.0978025220419184,"SP_ROC",0.04172,0.0233788607987399,0.0600611392012601
"SP_Dur","SP_Dur",0.5361,0.491770663816159,0.580429336183841,"SP_Dur",0.2142,0.157002704871646,0.271397295128354
"SP_Mag","SP_Mag",0.47416,0.298175039829251,0.650144960170749,"SP_Mag",0.34656,0.185102592400348,0.508017407599652
"SP_Tim","SP_Tim",0.55202,0.411122102243504,0.692917897756496,"SP_Tim",0.25564,0.152672183014303,0.358607816985697
"Wet_BFL_Dur","Wet_BFL_Dur",0.40028,0.213703276452554,0.586856723547446,"Wet_BFL_Dur",0.173,0.0930945955770199,0.25290540442298
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.14546,0.0711318565528507,0.219788143447149,"Wet_BFL_Mag_10",0.08772,0.0229032193240053,0.152536780675995
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.19452,0.13463046886809,0.25440953113191,"Wet_BFL_Mag_50",0.10356,0.0463117081407663,0.160808291859234
"Wet_Tim","Wet_Tim",0.38742,0.301218676911546,0.473621323088454,"Wet_Tim",0.24128,0.172793367675144,0.309766632324856
"DS_Dur_WS","DS_Dur_WS",0.1514,0.107355609227735,0.195444390772265,"DS_Dur_WS",0.0612,0.0376196441078596,0.0847803558921404
"Q99","Q99",0.54682,0.464080279585921,0.629559720414079,"Q99",0.343,0.236568841667489,0.449431158332511
"FA_Dur","FA_Dur",0.09218,0.0206856718389494,0.163674328161051,"FA_Dur",0.0478,0.0205441051146729,0.0750558948853271
"FA_Mag","FA_Mag",0.35778,0.234196951471086,0.481363048528914,"FA_Mag",0.19072,0.0898877004665668,0.291552299533433
"FA_Tim","FA_Tim",0.36388,0.206667085509173,0.521092914490827,"FA_Tim",0.1916,0.0945894292460868,0.288610570753913
