"","Polycentropus","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.34956,0.216737757936406,0.482382242063594,"DS_Tim",0.03732,0.0198830761543213,0.0547569238456787
"DS_Mag_50","DS_Mag_50",0.39658,0.216760983945802,0.576399016054198,"DS_Mag_50",0.0772,0.027178463338278,0.127221536661722
"DS_Mag_90","DS_Mag_90",0.33518,0.247989181904285,0.422370818095715,"DS_Mag_90",0.06304,0.0337060281448284,0.0923739718551716
"SP_ROC","SP_ROC",0.25608,0.0634224545308437,0.448737545469156,"SP_ROC",0.05468,0.022798459616888,0.086561540383112
"SP_Dur","SP_Dur",0.53934,0.417090280134063,0.661589719865937,"SP_Dur",0.09992,0.0363942032777235,0.163445796722277
"SP_Mag","SP_Mag",0.38438,0.312556074785626,0.456203925214374,"SP_Mag",0.0416,0.0256027194186012,0.0575972805813988
"SP_Tim","SP_Tim",0.53768,0.455756796103302,0.619603203896698,"SP_Tim",0.09912,0.0691636745711361,0.129076325428864
"Wet_BFL_Dur","Wet_BFL_Dur",0.64276,0.500138344630628,0.785381655369372,"Wet_BFL_Dur",0.2354,0.131612308937909,0.339187691062091
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.1595,0.0521381430092605,0.266861856990739,"Wet_BFL_Mag_10",0.01652,0.00591773150688967,0.0271222684931103
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.09402,0.0800437689021682,0.107996231097832,"Wet_BFL_Mag_50",0.02168,0.0104376016259875,0.0329223983740125
"Wet_Tim","Wet_Tim",0.37854,0.22924077676257,0.52783922323743,"Wet_Tim",0.09532,0.0292199771013655,0.161420022898634
"DS_Dur_WS","DS_Dur_WS",0.48228,0.303204200851427,0.661355799148573,"DS_Dur_WS",0.07228,0.0332511016655607,0.111308898334439
"Q99","Q99",0.25642,0.175593334791667,0.337246665208333,"Q99",0.06816,0.0150535205949406,0.121266479405059
"FA_Dur","FA_Dur",0.14486,0.100241772011878,0.189478227988122,"FA_Dur",0.02192,0.0111930057704872,0.0326469942295128
"FA_Mag","FA_Mag",0.42494,0.358481903154695,0.491398096845305,"FA_Mag",0.13308,0.0885221254187321,0.177637874581268
"FA_Tim","FA_Tim",0.42008,0.275467296091595,0.564692703908405,"FA_Tim",0.12596,0.0742810308268441,0.177638969173156
