"","Sperchon","corTest.corTest","corTest.lower","corTest.upper","AUCtest.variables","AUCtest.AUCtest","AUCtest.lower","AUCtest.upper"
"DS_Tim","DS_Tim",0.31108,0.1786407164105,0.4435192835895,"DS_Tim",0.18936,0.107115214361031,0.271604785638969
"DS_Mag_50","DS_Mag_50",0.2991,0.189985482368293,0.408214517631707,"DS_Mag_50",0.18688,0.126680090837278,0.247079909162722
"DS_Mag_90","DS_Mag_90",0.39564,0.317036625907026,0.474243374092974,"DS_Mag_90",0.28292,0.204208653593017,0.361631346406983
"SP_ROC","SP_ROC",0.10888,0.0735199316219553,0.144240068378045,"SP_ROC",0.0874,0.0568055520396265,0.117994447960373
"SP_Dur","SP_Dur",0.08924,0.0499873511683606,0.128492648831639,"SP_Dur",0.05772,0.0320728551452603,0.0833671448547397
"SP_Mag","SP_Mag",0.34782,0.292210478772066,0.403429521227934,"SP_Mag",0.28376,0.237543133503016,0.329976866496984
"SP_Tim","SP_Tim",0.28036,0.213453172535981,0.347266827464019,"SP_Tim",0.19604,0.15322861279052,0.23885138720948
"Wet_BFL_Dur","Wet_BFL_Dur",0.43766,0.310608623880731,0.564711376119269,"Wet_BFL_Dur",0.28712,0.210171631874354,0.364068368125646
"Wet_BFL_Mag_10","Wet_BFL_Mag_10",0.21862,0.137696166954969,0.299543833045031,"Wet_BFL_Mag_10",0.14488,0.092244438112622,0.197515561887378
"Wet_BFL_Mag_50","Wet_BFL_Mag_50",0.30782,0.237797976459545,0.377842023540455,"Wet_BFL_Mag_50",0.22272,0.165517516686773,0.279922483313227
"Wet_Tim","Wet_Tim",0.33718,0.227130333945532,0.447229666054468,"Wet_Tim",0.23852,0.181944005009191,0.295095994990809
"DS_Dur_WS","DS_Dur_WS",0.0978,0.0622197405644647,0.133380259435535,"DS_Dur_WS",0.06832,0.0406726558743882,0.0959673441256118
"Q99","Q99",0.44452,0.36296917178103,0.52607082821897,"Q99",0.32024,0.26488741725267,0.37559258274733
"FA_Dur","FA_Dur",0.07412,0.0485766520166208,0.0996633479833792,"FA_Dur",0.06496,0.0421356337919319,0.0877843662080681
"FA_Mag","FA_Mag",0.1787,0.123305256192487,0.234094743807513,"FA_Mag",0.11268,0.0748487884782948,0.150511211521705
"FA_Tim","FA_Tim",0.1904,0.107377333284819,0.273422666715181,"FA_Tim",0.10108,0.0512504643288742,0.150909535671126
